Proposed IATIPlus Fields

IatiOrganisations
IatiOrganisations_Version
IatiOrganisations_GeneratedDatetime
IatiOrganisation
IatiOrganisation_LastUpdatedDatetime
IatiOrganisation_Lang
IatiOrganisation_DefaultCurrency
OrganisationIdentifier
Name
NameNarrative
NameNarrativeText
NameNarrative_Lang
ReportingOrg
ReportingOrg_Ref
ReportingOrg_Type
ReportingOrg_SecondaryReporter
ReportingOrgNarrative
ReportingOrgNarrativeText
ReportingOrgNarrative_Lang
TotalBudget
TotalBudget_Status
TotalBudgetPeriodStart
TotalBudgetPeriodStart_IsoDate
TotalBudgetPeriodEnd
TotalBudgetPeriodEnd_IsoDate
TotalBudgetValue
TotalBudgetValue_Currency
TotalBudgetValue_ValueDate
TotalBudgetBudgetLine
TotalBudgetBudgetLine_Ref
TotalBudgetBudgetLineValue
TotalBudgetBudgetLineValue_Currency
TotalBudgetBudgetLineValue_ValueDate
TotalBudgetBudgetLineNarrative
TotalBudgetBudgetLineNarrativeText
TotalBudgetBudgetLineNarrative_Lang
RecipientOrgBudget
RecipientOrgBudget_Status
RecipientOrgBudgetRecipientOrg
RecipientOrgBudgetRecipientOrg_Ref
RecipientOrgBudgetRecipientOrgNarrative
RecipientOrgBudgetRecipientOrgNarrativeText
RecipientOrgBudgetRecipientOrgNarrative_Lang
RecipientOrgBudgetPeriodStart
RecipientOrgBudgetPeriodStart_IsoDate
RecipientOrgBudgetPeriodEnd
RecipientOrgBudgetPeriodEnd_IsoDate
RecipientOrgBudgetValue
RecipientOrgBudgetValue_Currency
RecipientOrgBudgetValue_ValueDate
RecipientOrgBudgetBudgetLine
RecipientOrgBudgetBudgetLine_Ref
RecipientOrgBudgetBudgetLineValue
RecipientOrgBudgetBudgetLineValue_Currency
RecipientOrgBudgetBudgetLineValue_ValueDate
RecipientOrgBudgetBudgetLineNarrative
RecipientOrgBudgetBudgetLineNarrativeText
RecipientOrgBudgetBudgetLineNarrative_Lang
RecipientRegionBudget
RecipientRegionBudget_Status
RecipientRegionBudgetRecipientRegion
RecipientRegionBudgetRecipientRegion_Vocabulary
RecipientRegionBudgetRecipientRegion_VocabularyUri
RecipientRegionBudgetRecipientRegion_Code
RecipientRegionBudgetRecipientRegionNarrative
RecipientRegionBudgetRecipientRegionNarrativeText
RecipientRegionBudgetRecipientRegionNarrative_Lang
RecipientRegionBudgetPeriodStart
RecipientRegionBudgetPeriodStart_IsoDate
RecipientRegionBudgetPeriodEnd
RecipientRegionBudgetPeriodEnd_IsoDate
RecipientRegionBudgetValue
RecipientRegionBudgetValue_Currency
RecipientRegionBudgetValue_ValueDate
RecipientRegionBudgetBudgetLine
RecipientRegionBudgetBudgetLine_Ref
RecipientRegionBudgetBudgetLineValue
RecipientRegionBudgetBudgetLineValue_Currency
RecipientRegionBudgetBudgetLineValue_ValueDate
RecipientRegionBudgetBudgetLineNarrative
RecipientRegionBudgetBudgetLineNarrativeText
RecipientRegionBudgetBudgetLineNarrative_Lang
RecipientCountryBudget
RecipientCountryBudget_Status
RecipientCountryBudgetRecipientCountry
RecipientCountryBudgetRecipientCountry_Code
RecipientCountryBudgetRecipientCountryNarrative
RecipientCountryBudgetRecipientCountryNarrativeText
RecipientCountryBudgetRecipientCountryNarrative_Lang
RecipientCountryBudgetPeriodStart
RecipientCountryBudgetPeriodStart_IsoDate
RecipientCountryBudgetPeriodEnd
RecipientCountryBudgetPeriodEnd_IsoDate
RecipientCountryBudgetValue
RecipientCountryBudgetValue_Currency
RecipientCountryBudgetValue_ValueDate
RecipientCountryBudgetBudgetLine
RecipientCountryBudgetBudgetLine_Ref
RecipientCountryBudgetBudgetLineValue
RecipientCountryBudgetBudgetLineValue_Currency
RecipientCountryBudgetBudgetLineValue_ValueDate
RecipientCountryBudgetBudgetLineNarrative
RecipientCountryBudgetBudgetLineNarrativeText
RecipientCountryBudgetBudgetLineNarrative_Lang
TotalExpenditure
TotalExpenditurePeriodStart
TotalExpenditurePeriodStart_IsoDate
TotalExpenditurePeriodEnd
TotalExpenditurePeriodEnd_IsoDate
TotalExpenditureValue
TotalExpenditureValue_Currency
TotalExpenditureValue_ValueDate
TotalExpenditureExpenseLine
TotalExpenditureExpenseLine_Ref
TotalExpenditureExpenseLineValue
TotalExpenditureExpenseLineValue_Currency
TotalExpenditureExpenseLineValue_ValueDate
TotalExpenditureExpenseLineNarrative
TotalExpenditureExpenseLineNarrativeText
TotalExpenditureExpenseLineNarrative_Lang
DocumentLink
DocumentLink_Url
DocumentLink_Format
DocumentLinkTitle
DocumentLinkTitleNarrative
DocumentLinkTitleNarrativeText
DocumentLinkTitleNarrative_Lang
DocumentLinkDescription
DocumentLinkDescriptionNarrative
DocumentLinkDescriptionNarrativeText
DocumentLinkDescriptionNarrative_Lang
DocumentLinkCategory
DocumentLinkCategory_Code
DocumentLinkLanguage
DocumentLinkLanguage_Code
DocumentLinkDocumentDate
DocumentLinkDocumentDate_IsoDate
DocumentLinkRecipientCountry
DocumentLinkRecipientCountry_Code
DocumentLinkRecipientCountryNarrative
DocumentLinkRecipientCountryNarrativeText
DocumentLinkRecipientCountryNarrative_Lang

IatiActivities
IatiActivities_Version
IatiActivities_GeneratedDatetime
IatiActivities_LinkedDataDefault
IatiActivity
IatiActivity_LastUpdatedDatetime
IatiActivity_Lang
IatiActivity_DefaultCurrency
IatiActivity_Humanitarian
IatiActivity_Hierarchy
IatiActivity_LinkedDataUri
IatiActivity_BudgetNotProvided
IatiIdentifier
IatiIdentifierText
ReportingOrg
ReportingOrg_Ref
ReportingOrg_Type
ReportingOrg_SecondaryReporter
ReportingOrgNarrative
ReportingOrgNarrativeText
ReportingOrgNarrative_Lang
Title
TitleNarrative
TitleNarrativeText
TitleNarrative_Lang
Description
Description_Type
DescriptionNarrative
DescriptionNarrativeText
DescriptionNarrative_Lang
ParticipatingOrg
ParticipatingOrg_Ref
ParticipatingOrg_Type
ParticipatingOrg_Role
ParticipatingOrg_ActivityId
ParticipatingOrg_CrsChannelCode
ParticipatingOrgNarrative
ParticipatingOrgNarrativeText
ParticipatingOrgNarrative_Lang
OtherIdentifier
OtherIdentifier_Ref
OtherIdentifier_Type
OtherIdentifierOwnerOrg
OtherIdentifierOwnerOrg_Ref
OtherIdentifierOwnerOrgNarrative
OtherIdentifierOwnerOrgNarrativeText
OtherIdentifierOwnerOrgNarrative_Lang
ActivityStatus
ActivityStatus_Code
ActivityDate
ActivityDate_Type
ActivityDate_IsoDate
ActivityDateNarrative
ActivityDateNarrativeText
ActivityDateNarrative_Lang
ContactInfo
ContactInfo_Type
ContactInfoOrganisation
ContactInfoOrganisationNarrative
ContactInfoOrganisationNarrativeText
ContactInfoOrganisationNarrative_Lang
ContactInfoDepartment
ContactInfoDepartmentNarrative
ContactInfoDepartmentNarrativeText
ContactInfoDepartmentNarrative_Lang
ContactInfoPersonName
ContactInfoPersonNameNarrative
ContactInfoPersonNameNarrativeText
ContactInfoPersonNameNarrative_Lang
ContactInfoJobTitle
ContactInfoJobTitleNarrative
ContactInfoJobTitleNarrativeText
ContactInfoJobTitleNarrative_Lang
ContactInfoTelephone
ContactInfoTelephoneText
ContactInfoEmail
ContactInfoEmailText
ContactInfoWebsite
ContactInfoWebsiteText
ContactInfoMailingAddress
ContactInfoMailingAddressNarrative
ContactInfoMailingAddressNarrativeText
ContactInfoMailingAddressNarrative_Lang
ActivityScope
ActivityScope_Code
RecipientCountry
RecipientCountry_Code
RecipientCountry_Percentage
RecipientCountryNarrative
RecipientCountryNarrativeText
RecipientCountryNarrative_Lang
RecipientRegion
RecipientRegion_Code
RecipientRegion_Vocabulary
RecipientRegion_VocabularyUri
RecipientRegion_Percentage
RecipientRegionNarrative
RecipientRegionNarrativeText
RecipientRegionNarrative_Lang
Location
Location_Ref
LocationLocationReach
LocationLocationReach_Code
LocationLocationId
LocationLocationId_Code
LocationLocationId_Vocabulary
LocationName
LocationNameNarrative
LocationNameNarrativeText
LocationNameNarrative_Lang
LocationDescription
LocationDescriptionNarrative
LocationDescriptionNarrativeText
LocationDescriptionNarrative_Lang
LocationActivityDescription
LocationActivityDescriptionNarrative
LocationActivityDescriptionNarrativeText
LocationActivityDescriptionNarrative_Lang
LocationAdministrative
LocationAdministrative_Code
LocationAdministrative_Vocabulary
LocationAdministrative_Level
LocationPoint
LocationPoint_Srsname
LocationPointPos
LocationExactness
LocationExactness_Code
LocationLocationClass
LocationLocationClass_Code
LocationFeatureDesignation
LocationFeatureDesignation_Code
Sector
Sector_Vocabulary
Sector_VocabularyUri
Sector_Code
Sector_Percentage
SectorNarrative
SectorNarrativeText
SectorNarrative_Lang
Tag
Tag_Code
Tag_Vocabulary
Tag_VocabularyUri
TagNarrative
